ID	populations
CML486-M	maize
CML493	maize
CML496	maize
CML497	maize
CML50	maize
CML51-M	maize
CML69	maize
CY72	maize
D047	maize
D863F	maize
DAN3130	maize
DAN340	maize
DAN360	maize
DAN4245	maize
DAN598	maize
DAN599	maize
DAN9046	maize
DE	maize
DH29	maize
DH3732	maize
DONG237	maize
DONG46	maize
DSB	maize
E28	maize
EN25	maize
ES40	maize
FCD0602	maize
GEMS1	maize
GEMS10	maize
GEMS11	maize
GEMS12-M	maize
GEMS13	maize
GEMS14	maize
GEMS15	maize
GEMS16	maize
GEMS17	maize
GEMS18	maize
GEMS19	maize
GEMS2	maize
GEMS20	maize
GEMS21	maize
GEMS23	maize
GEMS24	maize
GEMS25	maize
GEMS27	maize
GEMS28	maize
GEMS29	maize
GEMS3	maize
GEMS30	maize
GEMS31	maize
GEMS32	maize
GEMS33	maize
GEMS35	maize
GEMS36	maize
GEMS37	maize
GEMS39	maize
GEMS4	maize
GEMS40	maize
GEMS41	maize
GEMS42	maize
GEMS43	maize
GEMS44	maize
GEMS45	maize
GEMS46	maize
GEMS47	maize
GEMS48	maize
GEMS49	maize
GEMS5	maize
GEMS50	maize
GEMS51	maize
GEMS52	maize
GEMS53	maize
GEMS54	maize
GEMS55	maize
GEMS56	maize
GEMS57	maize
GEMS58	maize
GEMS59	maize
GEMS6	maize
GEMS60	maize
GEMS61	maize
GEMS62	maize
GEMS63	maize
GEMS64	maize
GEMS65	maize
GEMS66	maize
GEMS9	maize
GY1032	maize
GY220	maize
GY237	maize
GY386	maize
GY386B	maize
GY462	maize
GY798	maize
GY923	maize
H21	maize
HB	maize
HSBN	maize
HTH-17	maize
HUA83-2	maize
HUANGC	maize
HYS	maize
HZS	maize
IRF291	maize
IRF314	maize
JH59	maize
JH96C	maize
JI53	maize
JI63	maize
JI842	maize
JI846	maize
JI853	maize
JIAO51	maize
JING24	maize
JING724	maize
JY01	maize
K10	maize
K12	maize
K22	maize
L3180	maize
LG001	maize
LIAO138	maize
LIAO159	maize
LIAO5114	maize
LIAO5262	maize
LIAO5263	maize
LK11	maize
LV28	maize
LXN	maize
LY	maize
LY042	maize
M153	maize
M165	maize
M97	maize
MN	maize
MO17	maize
NAN21-3	maize
NMJT	maize
P138	maize
P178	maize
P6WC	maize
PH4VC	maize
Q1261X	maize
QI205	maize
QI319	maize
R08	maize
R15	maize
R15X1141	maize
RY684	maize
RY697	maize
RY713	maize
RY729	maize
RY732	maize
RY737	maize
S22-M	maize
S22X	maize
S37	maize
SC55	maize
SHEN137	maize
SHEN5003	maize
SI273	maize
SI434	maize
SI446	maize
SK	maize
SW1611	maize
SW92E114	maize
SY1032	maize
SY1035	maize
SY1039	maize
SY1052	maize
SY1077	maize
SY3073	maize
SY998	maize
SY999	maize
TIAN77	maize
TIE7922	maize
TT16	maize
TX5	maize
TY1	maize
TY10	maize
TY11	maize
TY2	maize
TY3	maize
TY4	maize
TY5	maize
TY6	maize
TY7	maize
TY8	maize
TY9	maize
U8112	maize
W138	maize
WH413	maize
WMR	maize
WU109	maize
XI502	maize
XUN971	maize
XZ698	maize
YAN414	maize
YE478	maize
